_id_,_id2_,comp_mixto1
45992,1057816,0.29656
87307,2008061,0.35938
7812,179676,0.35916
56514,1299822,0.32
52523,1208029,0.28312
53562,1231926,0.38
47920,1102160,0.28338
73830,1698090,0.3137
88307,2031061,0.3202
11029,253667,0.33956000000000003
94209,2166807,0.26896000000000003
16603,381869,0.38
81309,1870107,0.33334
70868,1629964,0.37
90992,2092816,0.37
38179,878117,0.368
28571,657133,0.37
28805,662515,0.35082
46434,1067982,0.37982
51040,1173920,0.36
72742,1673066,0.35237999999999997
62557,1438811,0.23354
60803,1398469,0.26656
85143,1958289,0.36160000000000003
53172,1222956,0.29788
85280,1961440,0.20892
86115,1980645,0.33636
69071,1588633,0.37814
3937,90551,0.35222000000000003
30541,702443,0.38
85519,1966937,0.35384000000000004
89602,2060846,0.36202
91158,2096634,0.24416
38741,891043,0.34
56595,1301685,0.31951999999999997
80298,1846854,0.34
72678,1671594,0.33164
59345,1364935,0.31714
68861,1583803,0.36325999999999997
73455,1689465,0.34546000000000004
5316,122268,0.31006
30776,707848,0.29998
76290,1754670,0.33232
71740,1650020,0.37627999999999995
75809,1743607,0.36488
61530,1415190,0.33768
33332,766636,0.37960000000000005
90466,2080718,0.33065999999999995
88771,2041733,0.33334
93410,2148430,0.23206
86765,1995595,0.34376
63,1449,0.35108000000000006
26522,610006,0.38
19177,441071,0.34638
29463,677649,0.33765999999999996
47664,1096272,0.37
62089,1428047,0.36068
94637,2176651,0.38
66156,1521588,0.36103999999999997
44758,1029434,0.3324
25383,583809,0.32864
30599,703777,0.36998000000000003
29544,679512,0.38
70257,1615911,0.359
29021,667483,0.36
12604,289892,0.37
4320,99360,0.3
25590,588570,0.38
82283,1892509,0.32308
56844,1307412,0.30666
40162,923726,0.30478
52183,1200209,0.32688
69479,1598017,0.3075
87184,2005232,0.31818
31915,734045,0.32527999999999996
17570,404110,0.325
81740,1880020,0.23704
1567,36041,0.30816
72547,1668581,0.368
15552,357696,0.3
18278,420394,0.37838
72712,1672376,0.368
73171,1682933,0.32308
57242,1316566,0.38
70629,1624467,0.25142000000000003
68112,1566576,0.30948000000000003
97151,2234473,0.37
34072,783656,0.26780000000000004
1408,32384,0.2989
80275,1846325,0.28934000000000004
97590,2244570,0.3695
30740,707020,0.35603999999999997
39176,901048,0.28222
11789,271147,0.3478
48734,1120882,0.23546
36350,836050,0.29896000000000006
64047,1473081,0.37
75494,1736362,0.3311
49009,1127207,0.26936
64203,1476669,0.27792
48694,1119962,0.35882
74340,1709820,0.36936
40502,931546,0.38232
74620,1716260,0.34
48161,1107703,0.3613
650,14950,0.32394
37823,869929,0.32604
75819,1743837,0.3332
20874,480102,0.35978
54386,1250878,0.27556
49357,1135211,0.37868
29100,669300,0.32998
84109,1934507,0.35294
54986,1264678,0.29334000000000005
79267,1823141,0.30144
31101,715323,0.30672000000000005
94071,2163633,0.33832
16640,382720,0.34
50684,1165732,0.27748
61240,1408520,0.37
94227,2167221,0.37082
89220,2052060,0.37
31470,723810,0.37
78651,1808973,0.31792000000000004
64727,1488721,0.28814
43795,1007285,0.37766
31740,730020,0.35988
7952,182896,0.25976
75899,1745677,0.33426
93201,2143623,0.3498
68613,1578099,0.33574
71809,1651607,0.32903999999999994
73212,1683876,0.37994
10545,242535,0.31334
90447,2080281,0.22728
77429,1780867,0.37
74114,1704622,0.278
78000,1794000,0.38
9939,228597,0.36222000000000004
51777,1190871,0.28776
84778,1949894,0.33227999999999996
26375,606625,0.36554
61371,1411533,0.29642
23364,537372,0.30994
88310,2031130,0.23514
756,17388,0.26
30644,704812,0.24137999999999998
310,7130,0.29978
69807,1605561,0.30104000000000003
30771,707733,0.38
38289,880647,0.38
3677,84571,0.32012
59243,1362589,0.31166
26413,607499,0.32552
96086,2209978,0.3577
49399,1136177,0.30078
54838,1261274,0.2474
59370,1365510,0.37714
15388,353924,0.21309999999999998
17994,413862,0.37472000000000005
33754,776342,0.363
6975,160425,0.32380000000000003
49781,1144963,0.29957999999999996
30004,690092,0.37
83033,1909759,0.35296000000000005
37853,870619,0.30526
82158,1889634,0.35462
64423,1481729,0.3723
67255,1546865,0.36
12173,279979,0.30238
68260,1569980,0.33838
90458,2080534,0.28806
50321,1157383,0.32939999999999997
18269,420187,0.35725999999999997
50529,1162167,0.38
29497,678431,0.32834
96681,2223663,0.30776
73370,1687510,0.26
91763,2110549,0.32577999999999996
18034,414782,0.33012
56288,1294624,0.32727999999999996
76546,1760558,0.2833
86609,1992007,0.35752
53889,1239447,0.38
11503,264569,0.33077999999999996
5075,116725,0.34
71635,1647605,0.3414
26447,608281,0.36
32552,748696,0.28
74229,1707267,0.3
19549,449627,0.36994
13256,304888,0.33888
64428,1481844,0.33334
79068,1818564,0.31998000000000004
19896,457608,0.33758000000000005
33564,771972,0.37526
43800,1007400,0.34843999999999997
43928,1010344,0.26
58672,1349456,0.34486
68723,1580629,0.35272000000000003
62056,1427288,0.38
17383,399809,0.35714
98073,2255679,0.34
78273,1800279,0.34
51068,1174564,0.35320000000000007
81371,1871533,0.32224
2427,55821,0.38
36780,845940,0.29606
59031,1357713,0.27998
20158,463634,0.3384
71822,1651906,0.3225
35625,819375,0.33914
49850,1146550,0.30013999999999996
17752,408296,0.34
30509,701707,0.38
88616,2038168,0.2924
79328,1824544,0.37
60306,1387038,0.36718
61643,1417789,0.32418
64816,1490768,0.34032
91003,2093069,0.35584000000000005
51755,1190365,0.32030000000000003
3251,74773,0.38
86930,1999390,0.24202
19528,449144,0.34942
91895,2113585,0.34
69263,1593049,0.28462
2493,57339,0.37662
81535,1875305,0.36544
28749,661227,0.3039
34898,802654,0.34
43391,997993,0.38
13381,307763,0.37
26226,603198,0.36946
44084,1013932,0.36053999999999997
58909,1354907,0.33282
56072,1289656,0.36
82278,1892394,0.368
4976,114448,0.26158
5626,129398,0.36078
26749,615227,0.31612
48050,1105150,0.255
97960,2253080,0.29474
9960,229080,0.38820000000000005
21933,504459,0.24262
36534,840282,0.35302
55030,1265690,0.36384000000000005
97548,2243604,0.22866
28706,660238,0.39
53831,1238113,0.26456
86288,1984624,0.31665999999999994
5951,136873,0.37
73938,1700574,0.33586
13473,309879,0.34914
78177,1798071,0.3226
96021,2208483,0.36786
60951,1401873,0.33427999999999997
64117,1474691,0.34
8696,200008,0.37254
70703,1626169,0.34902
60853,1399619,0.36996
78768,1811664,0.34
31467,723741,0.32903999999999994
13341,306843,0.23334
30922,711206,0.33720000000000006
34275,788325,0.36998000000000003
17832,410136,0.38
95438,2195074,0.37
84007,1932161,0.34882
89726,2063698,0.35
10518,241914,0.36488
72698,1672054,0.36924
32467,746741,0.32942
94635,2176605,0.312
93016,2139368,0.36266
50836,1169228,0.37
91407,2102361,0.27314
12216,280968,0.36918
24031,552713,0.35624
42577,979271,0.32598
80305,1847015,0.36328
25266,581118,0.30972000000000005
61098,1405254,0.37
81015,1863345,0.3332
81691,1878893,0.3647
68267,1570141,0.368
85778,1972894,0.37
89741,2064043,0.35998
80691,1855893,0.36
86663,1993249,0.38
13504,310592,0.34
16170,371910,0.25364
57188,1315324,0.24688
35256,810888,0.36
63766,1466618,0.37
87219,2006037,0.35952
23851,548573,0.32942
80360,1848280,0.24666
53577,1232271,0.38
16711,384353,0.29394
85790,1973170,0.34034000000000003
84454,1942442,0.32846000000000003
24997,574931,0.37
21373,491579,0.29552
64516,1483868,0.37
88373,2032579,0.33032
79954,1838942,0.32758
9793,225239,0.37182
56089,1290047,0.37906
32849,755527,0.31046
30106,692438,0.33362
5388,123924,0.38
78027,1794621,0.255
85683,1970709,0.29866
87784,2019032,0.31939999999999996
70524,1622052,0.38
80179,1844117,0.33977999999999997
2239,51497,0.37
97356,2239188,0.37
10088,232024,0.26452
72430,1665890,0.35
42641,980743,0.38
46975,1080425,0.34526
11426,262798,0.36634000000000005
60436,1390028,0.35828
20747,477181,0.34
98795,2272285,0.33977999999999997
73682,1694686,0.35
18552,426696,0.37
79224,1822152,0.31176
95123,2187829,0.36889999999999995
94742,2179066,0.35906
92028,2116644,0.35516
31485,724155,0.27176
43449,999327,0.37
78174,1798002,0.32784
4846,111458,0.38
83522,1921006,0.36
14755,339365,0.31244
29942,688666,0.29224
30657,705111,0.30666
51807,1191561,0.35714
38919,895137,0.35544
49386,1135878,0.3245
37649,865927,0.38
20115,462645,0.32996000000000003
66544,1530512,0.2591
40242,925566,0.37
56592,1301616,0.33494
28418,653614,0.37524
6882,158286,0.29242
33679,774617,0.2764
4845,111435,0.37
64057,1473311,0.3529
86865,1997895,0.32727999999999996
24888,572424,0.25866
77795,1789285,0.28074
47403,1090269,0.26718000000000003
32987,758701,0.32276
48411,1113453,0.37
82583,1899409,0.35276
15901,365723,0.37496
60000,1380000,0.35994
792,18216,0.37
77239,1776497,0.24
37624,865352,0.38
27969,643287,0.26892
80642,1854766,0.29458
68396,1573108,0.28572000000000003
82439,1896097,0.36
83456,1919488,0.35
17193,395439,0.2749
82866,1905918,0.25714
28049,645127,0.3217
19469,447787,0.2728
25995,597885,0.32048000000000004
31,713,0.38
63507,1460661,0.368
14685,337755,0.38
73333,1686659,0.32
66984,1540632,0.38996000000000003
